age,num_medications,time_in_hospital,number_diagnoses,total_patients,readmission_rate_pct
[40-50),29,5,9,12,50
[80-90),29,6,9,13,46.15
[80-90),17,6,8,11,45.45
[70-80),19,3,6,14,42.86
[80-90),29,5,9,18,38.89
[70-80),20,4,8,16,37.5
[50-60),32,6,9,11,36.36
[60-70),18,3,7,11,36.36
[60-70),20,2,8,11,36.36
[70-80),13,6,5,11,36.36
[70-80),4,2,7,11,36.36
[80-90),25,10,9,11,36.36
[90-100),20,4,9,11,36.36
[70-80),21,10,9,17,35.29
[60-70),20,10,9,20,35
[70-80),12,8,9,23,34.78
[40-50),14,2,8,12,33.33
[50-60),21,7,9,24,33.33
[60-70),17,5,7,12,33.33
[70-80),26,11,9,15,33.33
